,human,machine
0,friday october 20 1995,1995-10-20
1,19 may 2011,2011-05-19
2,monday december 19 1994,1994-12-19
3,saturday june 22 1991,1991-06-22
4,november 4 1999,1999-11-04
5,wednesday june 10 1970,1970-06-10
6,10 jul 1982,1982-07-10
7,thursday june 24 1971,1971-06-24
8,2 may 1986,1986-05-02
9,sunday march 20 1977,1977-03-20
10,monday september 12 1977,1977-09-12
11,saturday november 4 1989,1989-11-04
12,tuesday july 6 1982,1982-07-06
13,tuesday february 11 1975,1975-02-11
14,wednesday february 23 2011,2011-02-23
15,29.01.90,1990-01-29
16,september 14 2000,2000-09-14
17,monday may 26 1975,1975-05-26
18,27 07 95,1995-07-27
19,tuesday march 22 2011,2011-03-22
20,thursday november 17 2011,2011-11-17
21,19 jul 1970,1970-07-19
22,12/12/92,1992-12-12
23,30.08.06,2006-08-30
24,saturday may 10 2014,2014-05-10
25,monday june 7 2010,2010-06-07
26,january 27 2008,2008-01-27
27,friday february 10 1989,1989-02-10
28,21 dec 2006,2006-12-21
29,10/23/12,2012-10-23
30,15 january 1998,1998-01-15
31,22.04.79,1979-04-22
32,7/25/78,1978-07-25
33,wednesday july 26 2006,2006-07-26
34,10 may 2015,2015-05-10
35,2 feb 2013,2013-02-02
36,february 17 2009,2009-02-17
37,december 21 2011,2011-12-21
38,7 july 2015,2015-07-07
39,15 october 2007,2007-10-15
40,1 jun 1984,1984-06-01
41,7 july 1992,1992-07-07
42,29 june 1981,1981-06-29
43,15 11 70,1970-11-15
44,sunday february 9 2003,2003-02-09
45,tuesday september 21 1993,1993-09-21
46,friday january 8 1993,1993-01-08
47,27.03.87,1987-03-27
48,february 2 2012,2012-02-02
49,october 23 2008,2008-10-23
50,saturday january 30 2010,2010-01-30
51,5 10 86,1986-10-05
52,thursday september 6 1973,1973-09-06
53,5/21/79,1979-05-21
54,thursday march 14 1985,1985-03-14
55,monday august 10 1981,1981-08-10
56,22 february 1993,1993-02-22
57,sunday november 30 1975,1975-11-30
58,6 sep 1991,1991-09-06
59,saturday march 18 1995,1995-03-18
60,12 mar 1991,1991-03-12
61,07 jun 1978,1978-06-07
62,feb 28 2000,2000-02-28
63,thursday october 20 2005,2005-10-20
64,22 august 1981,1981-08-22
65,tuesday may 6 1975,1975-05-06
66,18 november 2017,2017-11-18
67,16 oct 1985,1985-10-16
68,aug 9 2017,2017-08-09
69,7 november 2006,2006-11-07
70,20 dec 2006,2006-12-20
71,november 30 1981,1981-11-30
72,thursday january 1 1981,1981-01-01
73,thursday september 6 2001,2001-09-06
74,apr 30 1990,1990-04-30
75,25 apr 1979,1979-04-25
76,23 sep 2009,2009-09-23
77,01.03.76,1976-03-01
78,wednesday july 17 1974,1974-07-17
79,july 21 1970,1970-07-21
80,12 apr 1997,1997-04-12
81,saturday october 6 2001,2001-10-06
82,tuesday october 14 1975,1975-10-14
83,monday june 15 1998,1998-06-15
84,18 dec 1986,1986-12-18
85,sunday may 8 2016,2016-05-08
86,may 24 1977,1977-05-24
87,sunday june 12 2011,2011-06-12
88,saturday october 22 2016,2016-10-22
89,thursday may 2 1974,1974-05-02
90,monday august 10 1970,1970-08-10
91,saturday april 20 2013,2013-04-20
92,monday december 5 2005,2005-12-05
93,28 12 92,1992-12-28
94,06 may 1997,1997-05-06
95,friday august 16 2013,2013-08-16
96,april 2 1986,1986-04-02
97,sunday july 19 1998,1998-07-19
98,saturday april 21 1984,1984-04-21
99,sep 7 1974,1974-09-07
100,05.08.11,2011-08-05
101,august 8 2003,2003-08-08
102,wednesday december 2 1970,1970-12-02
